,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
0,1435467,11,1,889.25,0.47,0.53,,,,,,,>,6.0,L,,,,,,,,,empty
1,1435467,11,2,920.04,1.82,1.99,,,,,,,,-0.43,L,,,,,,,,,empty
2,1435467,12,0,928.22,0.94,0.71,2.39,0.14,0.13,4.79,0.57,0.96,,2.11,L,,,,,,,,,empty
3,1435467,12,1,957.04,0.5,0.46,,,,,,,>,6.0,L,,,,,,,,,empty
4,1435467,12,2,989.14,1.24,1.3,,,,,,,,1.63,L,,,,,,,,,empty
5,1435467,13,0,995.13,0.43,0.53,2.43,0.18,0.12,4.57,0.75,0.72,>,6.0,L,,,,,,,,,empty
6,1435467,13,1,1025.88,0.38,0.36,,,,,,,>,6.0,L,,,,,,,,,empty
7,1435467,13,2,1056.68,1.63,1.49,,,,,,,,2.45,L,,,,,,,,,empty
8,1435467,14,0,1064.42,0.34,0.36,2.67,0.18,0.13,3.68,0.53,0.97,>,6.0,L,,,,,,,,,empty
9,1435467,14,1,1097.0,0.29,0.27,,,,,,,>,6.0,L,,,,,,,,,empty
10,1435467,14,2,1131.4,1.32,0.99,,,,,,,>,6.0,L,,,,,,,,,empty
11,1435467,15,0,1136.15,0.34,0.39,3.41,0.14,0.17,5.05,0.7,1.15,>,6.0,L,,,,,,,,,empty
12,1435467,15,1,1167.86,0.25,0.26,,,,,,,>,6.0,L,,,,,,,,,empty
13,1435467,15,2,1199.64,0.54,0.61,,,,,,,>,6.0,L,,,,,,,,,empty
14,1435467,16,0,1206.55,0.21,0.24,3.61,0.14,0.16,3.91,0.6,0.61,>,6.0,L,,,,,,,,,empty
15,1435467,16,1,1237.49,0.23,0.23,,,,,,,>,6.0,L,,,,,,,,,empty
16,1435467,16,2,1269.06,0.59,0.64,,,,,,,>,6.0,L,,,,,,,,,empty
17,1435467,17,0,1275.25,0.29,0.31,4.54,0.15,0.15,5.88,0.62,0.52,>,6.0,L,,,,,,,,,empty
18,1435467,17,1,1307.14,0.22,0.19,,,,,,,>,6.0,L,,,,,,,,,empty
19,1435467,17,2,1339.8,0.7,0.62,,,,,,,>,6.0,L,,,,,,,,,empty
20,1435467,18,0,1343.82,0.35,0.31,4.55,0.13,0.17,5.32,0.53,0.45,>,6.0,L,,,,,,,,,empty
21,1435467,18,1,1376.38,0.17,0.18,,,,,,,>,6.0,L,,,,,,,,,empty
22,1435467,18,2,1408.44,0.44,0.48,,,,,,,>,6.0,L,,,,,,,,,empty
23,1435467,19,0,1414.66,0.18,0.19,4.2,0.12,0.19,3.59,0.36,0.48,>,6.0,L,,,,,,,,,empty
24,1435467,19,1,1446.97,0.2,0.19,,,,,,,>,6.0,L,,,,,,,,,empty
25,1435467,19,2,1479.76,0.56,0.58,,,,,,,>,6.0,L,,,,,,,,,empty
26,1435467,20,0,1485.18,0.31,0.28,4.47,0.16,0.16,5.42,0.49,0.41,>,6.0,L,,,,,,,,,empty
27,1435467,20,1,1518.64,0.21,0.21,,,,,,,>,6.0,L,,,,,,,,,empty
28,1435467,20,2,1551.1,0.56,0.58,,,,,,,>,6.0,L,,,,,,,,,empty
29,1435467,21,0,1556.74,0.34,0.34,3.78,0.12,0.15,4.97,0.65,0.32,>,6.0,L,,,,,,,,,empty
30,1435467,21,1,1590.37,0.23,0.23,,,,,,,>,6.0,L,,,,,,,,,empty
31,1435467,21,2,1622.34,0.75,0.66,,,,,,,>,6.0,L,,,,,,,,,empty
32,1435467,22,0,1627.75,0.42,0.41,3.62,0.13,0.15,6.01,0.62,0.54,>,6.0,L,,,,,,,,,empty
33,1435467,22,1,1662.08,0.26,0.27,,,,,,,>,6.0,L,,,,,,,,,empty
34,1435467,22,2,1696.74,0.91,1.08,,,,,,,>,6.0,L,,,,,,,,,empty
35,1435467,23,0,1698.86,0.46,0.41,3.3,0.14,0.1,5.77,0.69,0.54,>,6.0,L,,,,,,,,,empty
36,1435467,23,1,1732.87,0.35,0.32,,,,,,,>,6.0,L,,,,,,,,,empty
37,1435467,23,2,1767.38,1.28,1.46,,,,,,,>,6.0,L,,,,,,,,,empty
38,1435467,24,0,1771.56,0.52,0.6,2.99,0.11,0.15,7.17,0.84,1.02,>,6.0,L,,,,,,,,,empty
39,1435467,24,1,1804.11,0.44,0.42,,,,,,,>,6.0,L,,,,,,,,,empty
40,1435467,24,2,1836.79,1.18,1.05,,,,,,,,1.22,L,,,,,,,,,empty
41,1435467,25,0,1841.53,0.52,0.48,2.31,0.15,0.07,5.26,0.8,0.72,>,6.0,L,,,,,,,,,empty
42,1435467,25,1,1875.62,0.6,0.68,,,,,,,>,6.0,L,,,,,,,,,empty
43,1435467,25,2,1907.56,1.94,1.93,,,,,,,,0.88,L,,,,,,,,,empty
44,1435467,26,0,1913.77,0.78,0.73,2.08,0.09,0.1,6.07,0.73,0.78,,4.21,L,,,,,,,,,empty
45,1435467,26,1,1946.24,0.76,0.76,,,,,,,>,6.0,L,,,,,,,,,empty
46,2837475,10,2,901.21,3.05,2.63,,,,,,,,0.84,L,,,,,,,,,empty
47,2837475,11,0,909.53,2.41,2.62,1.32,0.29,0.27,8.16,2.97,4.94,,3.09,L,,,,,,,,,empty
48,2837475,11,1,943.78,1.43,1.8,,,,,,,,3.6,L,,,,,,,,,empty
49,2837475,11,2,978.78,2.18,2.41,,,,,,,,1.25,L,,,,,,,,,empty
50,2837475,12,0,985.93,0.69,0.59,1.96,0.21,0.16,2.86,1.12,5.34,>,6.0,L,,,,,,,,,empty
51,2837475,12,1,1019.16,0.87,1.26,,,,,,,>,6.0,L,,,,,,,,,empty
52,2837475,12,2,1053.35,2.78,2.89,,,,,,,,1.45,L,,,,,,,,,empty
53,2837475,13,0,1059.16,0.85,1.15,2.12,0.18,0.17,5.17,1.52,1.93,>,6.0,L,,,,,,,,,empty
54,2837475,13,1,1094.73,0.52,0.45,,,,,,,,5.07,L,,,,,,,,,empty
55,2837475,13,2,1128.42,1.44,1.3,,,,,,,,3.16,L,,,,,,,,,empty
56,2837475,14,0,1133.38,0.53,0.49,2.81,0.19,0.1,4.86,0.62,0.9,>,6.0,L,,,,,,,,,empty
57,2837475,14,1,1166.8,0.37,0.4,,,,,,,>,6.0,L,,,,,,,,,empty
58,2837475,14,2,1202.25,0.95,0.97,,,,,,,>,6.0,L,,,,,,,,,empty
59,2837475,15,0,1205.82,0.28,0.35,2.95,0.17,0.14,4.57,0.67,0.8,>,6.0,L,,,,,,,,,empty
60,2837475,15,1,1239.61,0.48,0.48,,,,,,,>,6.0,L,,,,,,,,,empty
61,2837475,15,2,1271.68,0.8,0.81,,,,,,,,3.18,L,,,,,,,,,empty
62,2837475,16,0,1279.67,0.38,0.43,3.2,0.17,0.13,5.0,0.65,0.77,>,6.0,L,,,,,,,,,empty
63,2837475,16,1,1314.17,0.48,0.46,,,,,,,>,6.0,L,,,,,,,,,empty
64,2837475,16,2,1346.69,0.88,0.92,,,,,,,,4.22,L,,,,,,,,,empty
65,2837475,17,0,1356.21,0.37,0.36,3.3,0.14,0.13,5.11,0.54,0.63,>,6.0,L,,,,,,,,,empty
66,2837475,17,1,1391.34,0.32,0.33,,,,,,,>,6.0,L,,,,,,,,,empty
67,2837475,17,2,1424.33,1.69,1.57,,,,,,,,4.8,L,,,,,,,,,empty
68,2837475,18,0,1432.09,0.48,0.55,3.55,0.13,0.12,6.1,0.56,0.81,>,6.0,L,,,,,,,,,empty
69,2837475,18,1,1468.42,0.31,0.35,,,,,,,>,6.0,L,,,,,,,,,empty
70,2837475,18,2,1501.73,1.07,1.19,,,,,,,,4.5,L,,,,,,,,,empty
71,2837475,19,0,1509.39,0.35,0.33,3.65,0.13,0.12,5.83,0.72,0.8,>,6.0,L,,,,,,,,,empty
72,2837475,19,1,1544.61,0.31,0.28,,,,,,,>,6.0,L,,,,,,,,,empty
73,2837475,19,2,1578.23,1.55,1.25,,,,,,,,4.27,L,,,,,,,,,empty
74,2837475,20,0,1585.55,0.4,0.46,4.02,0.13,0.12,6.95,0.85,0.74,>,6.0,L,,,,,,,,,empty
75,2837475,20,1,1620.5,0.31,0.31,,,,,,,>,6.0,L,,,,,,,,,empty
76,2837475,20,2,1654.17,0.98,1.23,,,,,,,,4.51,L,,,,,,,,,empty
77,2837475,21,0,1660.12,0.37,0.39,3.82,0.11,0.13,5.73,0.58,0.63,>,6.0,L,,,,,,,,,empty
78,2837475,21,1,1695.67,0.33,0.31,,,,,,,>,6.0,L,,,,,,,,,empty
79,2837475,21,2,1731.72,1.11,1.32,,,,,,,>,6.0,L,,,,,,,,,empty
80,2837475,22,0,1734.45,0.6,0.6,3.83,0.13,0.12,6.58,0.65,0.69,>,6.0,L,,,,,,,,,empty
81,2837475,22,1,1771.58,0.36,0.36,,,,,,,>,6.0,L,,,,,,,,,empty
82,2837475,22,2,1806.7,1.58,1.43,,,,,,,>,6.0,L,,,,,,,,,empty
83,2837475,23,0,1810.87,0.61,0.64,3.44,0.14,0.1,8.17,0.66,1.24,>,6.0,L,,,,,,,,,empty
84,2837475,23,1,1845.76,0.42,0.4,,,,,,,>,6.0,L,,,,,,,,,empty
85,2837475,23,2,1882.59,1.54,2.11,,,,,,,>,6.0,L,,,,,,,,,empty
86,2837475,24,0,1886.75,0.73,0.65,2.96,0.12,0.1,6.79,0.75,0.92,>,6.0,L,,,,,,,,,empty
87,2837475,24,1,1922.74,0.51,0.53,,,,,,,,5.39,L,,,,,,,,,empty
88,2837475,24,2,1960.41,2.02,1.79,,,,,,,>,6.0,L,,,,,,,,,empty
89,2837475,25,0,1965.62,1.16,1.11,2.47,0.1,0.15,8.52,1.14,0.93,>,6.0,L,,,,,,,,,empty
90,2837475,25,1,2000.59,0.7,0.61,,,,,,,,4.96,L,,,,,,,,,empty
91,2837475,25,2,2037.36,1.73,1.85,,,,,,,,1.98,L,,,,,,,,,empty
92,2837475,26,0,2042.05,2.02,2.06,2.09,0.1,0.17,8.16,1.33,1.8,,4.98,L,,,,,,,,,empty
93,2837475,26,1,2074.98,0.94,1.29,,,,,,,,4.79,L,,,,,,,,,empty
94,2837475,26,2,2113.08,1.91,1.94,,,,,,,,0.53,L,,,,,,,,,empty
95,2837475,27,0,2117.22,0.98,1.2,1.85,0.13,0.14,9.5,2.85,2.01,>,6.0,L,,,,,,,,,empty
96,2837475,27,1,2157.59,1.13,0.95,,,,,,,,4.0,L,,,,,,,,,empty
97,2837475,27,2,2190.1,1.99,2.26,,,,,,,,0.05,L,,,,,,,,,empty
98,2837475,28,0,2194.76,0.98,1.18,1.51,0.11,0.1,7.8,1.53,1.68,,3.71,L,,,,,,,,,empty
99,2837475,28,1,2233.88,1.51,1.41,,,,,,,,3.07,L,,,,,,,,,empty
100,3427720,14,0,1848.95,3.9,2.74,0.05,0.05,0.59,0.5,0.5,4.02,,1.15,L,,,,,,,,,empty
101,3427720,14,2,1958.7,0.33,0.3,,,,,,,,1.58,L,,,,,,,,,empty
102,3427720,15,0,1969.86,0.16,0.16,1.15,0.13,0.14,0.9,0.3,0.39,>,6.0,L,,,,,,,,,empty
103,3427720,15,1,2025.18,0.14,0.15,,,,,,,>,6.0,L,,,,,,,,,empty
104,3427720,15,2,2077.46,0.52,0.76,,,,,,,,-0.16,L,,,,,,,,,empty
105,3427720,16,0,2088.92,0.24,0.24,1.07,0.13,0.15,1.2,0.5,0.46,>,6.0,L,,,,,,,,,empty
106,3427720,16,1,2144.14,0.17,0.18,,,,,,,>,6.0,L,,,,,,,,,empty
107,3427720,16,2,2195.88,0.63,0.55,,,,,,,,0.7,L,,,,,,,,,empty
108,3427720,17,0,2207.58,0.38,0.38,1.4,0.12,0.12,2.13,0.42,0.53,>,6.0,L,,,,,,,,,empty
109,3427720,17,1,2262.38,0.18,0.17,,,,,,,>,6.0,L,,,,,,,,,empty
110,3427720,17,2,2314.12,0.36,0.39,,,,,,,,2.64,L,,,,,,,,,empty
111,3427720,18,0,2325.38,0.17,0.17,1.78,0.09,0.12,1.76,0.29,0.25,>,6.0,L,,,,,,,,,empty
112,3427720,18,1,2380.83,0.1,0.1,,,,,,,>,6.0,L,,,,,,,,,empty
113,3427720,18,2,2433.84,0.15,0.14,,,,,,,>,6.0,L,,,,,,,,,empty
114,3427720,19,0,2444.44,0.13,0.12,2.12,0.11,0.1,1.36,0.19,0.21,>,6.0,L,,,,,,,,,empty
115,3427720,19,1,2500.83,0.1,0.1,,,,,,,>,6.0,L,,,,,,,,,empty
116,3427720,19,2,2553.81,0.21,0.21,,,,,,,>,6.0,L,,,,,,,,,empty
117,3427720,20,0,2564.45,0.15,0.15,2.39,0.1,0.11,1.85,0.18,0.22,>,6.0,L,,,,,,,,,empty
118,3427720,20,1,2621.01,0.08,0.08,,,,,,,>,6.0,L,,,,,,,,,empty
119,3427720,20,2,2674.68,0.15,0.15,,,,,,,>,6.0,L,,,,,,,,,empty
120,3427720,21,0,2684.64,0.09,0.09,2.61,0.1,0.1,1.3,0.14,0.16,>,6.0,L,,,,,,,,,empty
121,3427720,21,1,2741.29,0.09,0.09,,,,,,,>,6.0,L,,,,,,,,,empty
122,3427720,21,2,2794.48,0.17,0.17,,,,,,,>,6.0,L,,,,,,,,,empty
123,3427720,22,0,2804.41,0.16,0.16,2.7,0.1,0.1,2.3,0.18,0.26,>,6.0,L,,,,,,,,,empty
124,3427720,22,1,2861.09,0.11,0.11,,,,,,,>,6.0,L,,,,,,,,,empty
125,3427720,22,2,2914.55,0.21,0.2,,,,,,,>,6.0,L,,,,,,,,,empty
126,3427720,23,0,2924.94,0.19,0.19,2.33,0.11,0.1,2.14,0.3,0.24,>,6.0,L,,,,,,,,,empty
127,3427720,23,1,2981.66,0.14,0.14,,,,,,,>,6.0,L,,,,,,,,,empty
128,3427720,23,2,3035.13,0.3,0.31,,,,,,,>,6.0,L,,,,,,,,,empty
129,3427720,24,0,3044.54,0.29,0.31,2.18,0.11,0.1,3.08,0.37,0.49,>,6.0,L,,,,,,,,,empty
